price_paid,address,lat,lon
314000,FLAT 1-4 349 SMITHDOWN ROAD LIVERPOOL L15 3JJ,53.392415,-2.933194
310000, 16 TREFULA PARK LIVERPOOL L12 7LH,53.42914,-2.91341
305000, 22 CHILDWALL PARK AVENUE LIVERPOOL L16 0JG,53.393778,-2.887941
305000, 34 CHILDWALL PRIORY ROAD LIVERPOOL L16 7PE,53.396262,-2.89473
305000, 282 EATON ROAD LIVERPOOL L12 2AN,53.422256,-2.899009
305000, 43 ALMONDS GREEN LIVERPOOL L12 5HP,53.433653,-2.912324
300000, 10 KENDAL PARK LIVERPOOL L12 9LS,53.427308,-2.89138
300000, THE WHITE HOUSE BROAD GREEN ROAD LIVERPOOL L13 5SF,53.409033,-2.905787
300000, 38 TYNWALD HILL LIVERPOOL L13 7DP,53.421484,-2.921514
299995, 6 SANDOWN AVENUE LIVERPOOL L14 7AS,53.40354,-2.922419
299950, 36 HEATHFIELD ROAD LIVERPOOL L15 9EZ,53.390693,-2.911735
297995, 7 DERWENT WAY LIVERPOOL L14 7AN,53.419158,-2.919465
297995, 7 SANDOWN AVENUE LIVERPOOL L14 7AS,53.399642,-2.922021
297500, 8 TOWERS ROAD LIVERPOOL L16 8NX,53.3909,-2.897757
295000, 47 CHILDWALL PRIORY ROAD LIVERPOOL L16 7PA,53.395878,-2.893542
295000, 8 HEATHFIELD ROAD LIVERPOOL L15 9EZ,53.390016,-2.913449
290000, 135 THOMAS LANE LIVERPOOL L14 5NT,53.411791,-2.892499
290000, 51 CHARNLEY DRIVE LIVERPOOL L15 6WA,53.399903,-2.899023
289995, 8 OAKVALE ROAD LIVERPOOL L14 7AP,53.408525,-2.904588
289995, 4 SANDOWN AVENUE LIVERPOOL L14 7AS,53.403669,-2.922139
289995, 3 SANDOWN AVENUE LIVERPOOL L14 7AS,53.399484,-2.922175
287500, 6 BIRCH TREE COURT LIVERPOOL L12 7LW,53.42983,-2.913359
286495, 9 HOLLY BANK AVENUE LIVERPOOL L14 7AG,53.411047,-2.884903
285000, 9 SUNNY BANK ROAD LIVERPOOL L16 7PN,53.395623,-2.889682
285000, 2 TAPLEY PLACE LIVERPOOL L13 1AP,53.409353,-2.92116
282500, 35 CHILDWALL PRIORY ROAD LIVERPOOL L16 7PA,53.396151,-2.894174
282000, 69 HEATHFIELD ROAD LIVERPOOL L15 9EY,53.392108,-2.908419
280000, 27 CHILDWALL MOUNT ROAD LIVERPOOL L16 7PJ,53.396779,-2.891738
279000, 4 CHILDWALL MOUNT ROAD LIVERPOOL L16 7PL,53.396111,-2.892335
277500, 32 TYNWALD HILL LIVERPOOL L13 7DP,53.421356,-2.92195
275000, 22 WHINFELL ROAD LIVERPOOL L12 2AT,53.422976,-2.90416
275000, 17A SANDOWN LANE LIVERPOOL L15 8HY,53.400071,-2.921974
275000, 3 BOLD PLACE LIVERPOOL L1 9DN,53.401355,-2.97543
274995, 8 DERWENT WAY LIVERPOOL L14 7AN,53.419158,-2.919465
272500, 3 AWELON CLOSE LIVERPOOL L12 5JY,53.439045,-2.903786
272500, 21 HEATHFIELD ROAD LIVERPOOL L15 9EU,53.390417,-2.913102
270000, 17 NORTH BARCOMBE ROAD LIVERPOOL L16 7PT,53.396064,-2.887114
270000, 5 CHILDWALL PRIORY ROAD LIVERPOOL L16 7PA,53.396325,-2.894577
270000, 1 CHILDWALL PRIORY ROAD LIVERPOOL L16 7PB,53.396325,-2.894577
270000, 127 QUEENS DRIVE LIVERPOOL L15 6XT,53.399267,-2.897493
270000, BASIL GRANGE LODGE NORTH DRIVE LIVERPOOL L12 1LG,53.424876,-2.914585
270000, 43 KNIGHT STREET LIVERPOOL L1 9DT,53.400366,-2.974324
267500, 104 CHELWOOD AVENUE LIVERPOOL L16 3NW,53.402244,-2.878705
266995, 27 JUBILEE AVENUE LIVERPOOL L14 3NB,53.40706,-2.893943
265000, 24 THE BRYCEWAY LIVERPOOL L12 3HJ,53.420483,-2.887696
265000, 8 ROSE BANK ROAD LIVERPOOL L16 7PP,53.396117,-2.890534
265000, 18 WHINMOOR ROAD LIVERPOOL L12 2AX,53.422383,-2.900922
265000, 167 CHILDWALL ROAD LIVERPOOL L15 6US,53.396902,-2.901578
265000, 27 NORSEMAN CLOSE LIVERPOOL L12 5LS,53.436191,-2.908488
265000, 12 WELLINGTON AVENUE LIVERPOOL L15 0EJ,53.394879,-2.933846
265000,APARTMENT 14 2 HURST STREET LIVERPOOL L1 8DN,53.398364,-2.986431
264000, 41 HEATHFIELD ROAD LIVERPOOL L15 9EU,53.39099,-2.91126
263000, 9 CHILDWALL MOUNT ROAD LIVERPOOL L16 7PJ,53.396273,-2.892316
263000, 12 EPPING GROVE LIVERPOOL L15 6XP,53.394155,-2.905633
260000, 46 WHINFELL ROAD LIVERPOOL L12 2AT,53.422097,-2.903372
260000, 9 ABBEYSTEAD ROAD LIVERPOOL L15 7JE,53.397411,-2.904687
259995, 4 OAKVALE ROAD LIVERPOOL L14 7AP,53.408601,-2.90475
258000, 60 CHURCH ROAD LIVERPOOL L15 9EQ,53.393334,-2.914956
258000, 12 SANDOWN LANE LIVERPOOL L15 8HY,53.4001,-2.92165
258000, 14 DAVENHILL PARK LIVERPOOL L10 8LY,53.48113,-2.943738
257000, 11 SWINBURNE CLOSE LIVERPOOL L16 3GE,53.401768,-2.879255
257000, 78 ELDRED ROAD LIVERPOOL L16 8PD,53.39378,-2.897715
255250, 29 ORTON ROAD LIVERPOOL L16 6AR,53.400872,-2.896838
255000, 39 WAVERTREE NOOK ROAD LIVERPOOL L15 7LE,53.402083,-2.903679
254995, 29 JUBILEE AVENUE LIVERPOOL L14 3NB,53.40706,-2.893943
253995, 8 SANDOWN AVENUE LIVERPOOL L14 7AS,53.399954,-2.921685
253500, 58 GREEN LANE NORTH LIVERPOOL L16 8NL,53.392487,-2.895715
252000, 17 KENILWORTH ROAD LIVERPOOL L16 7PS,53.39667,-2.889623
251000, 40 HEATHFIELD ROAD LIVERPOOL L15 9EZ,53.390892,-2.911283
251000,APARTMENT 32 9 CORNWALLIS STREET LIVERPOOL L1 5EL,53.399718,-2.978097
250000, 89 RUDSTON ROAD LIVERPOOL L16 4PQ,53.398995,-2.891668
250000, 16 WAVERTREE NOOK ROAD LIVERPOOL L15 7LQ,53.402861,-2.903396
250000, 21 CHELDON ROAD LIVERPOOL L12 0RN,53.444899,-2.903414
250000, 80 RODNEY STREET LIVERPOOL L1 9AR,53.39981,-2.973984
249999, 23 GREENODD AVENUE LIVERPOOL L12 0HE,53.443635,-2.901091
249995, 23 CHURCH ROAD LIVERPOOL L15 9EA,53.390058,-2.914833
247995, 15 SANDOWN AVENUE LIVERPOOL L14 7AS,53.403451,-2.922627
247500, 56 SWAN CRESCENT LIVERPOOL L15 8AL,53.402393,-2.90969
245000, 8 RUDSTON ROAD LIVERPOOL L16 4PH,53.40007,-2.896848
245000, 51 NOOK RISE LIVERPOOL L15 7JB,53.402493,-2.904401
245000, 579 QUEENS DRIVE LIVERPOOL L13 5TY,53.418597,-2.907201
240000, 164 ALDER ROAD LIVERPOOL L12 9ES,53.422437,-2.893993
240000, 36 WHINFELL ROAD LIVERPOOL L12 2AT,53.42242,-2.903781
240000, 108 SANDFORTH ROAD LIVERPOOL L12 1LW,53.428765,-2.907418
240000, 211 SMITHDOWN ROAD LIVERPOOL L15 2HD,53.395308,-2.938862
240000,APARTMENT 707 3 KENYONS STEPS LIVERPOOL L1 3BH,53.403049,-2.990112
239995, 31 JUBILEE AVENUE LIVERPOOL L14 3NB,53.40706,-2.893943
239995, 25 JUBILEE AVENUE LIVERPOOL L14 3NB,53.40706,-2.893943
239950, 68 GLADSTONE AVENUE LIVERPOOL L16 2LQ,53.400662,-2.870777
238000, 33 IRENE ROAD LIVERPOOL L16 8NS,53.392262,-2.897241
237000, 44 ATHOLL CRESCENT LIVERPOOL L10 8LB,53.483275,-2.938824
235000, 35 FRANCIS WAY LIVERPOOL L16 5EN,53.400574,-2.888837
235000, 35 FRANCIS WAY LIVERPOOL L16 5EN,53.400574,-2.888837
235000, 110 SCORE LANE LIVERPOOL L16 5EF,53.400906,-2.890884
